SibSp,Parch,Fare,Gender,AgeisNull,CabinisNull,Alone,port_C,port_Q,port_S,Pclass_1,Pclass_2,Pclass_3,Master,Mr,Dr,Miss,Mrs,AgeFill,"AgeFill_(0.75, 19]","AgeFill_(19, 25]","AgeFill_(25, 32]","AgeFill_(32, 41]","AgeFill_(41, 80]","Fare_(0, 7.892]","Fare_(7.892, 10.5]","Fare_(10.5, 22.36]","Fare_(22.36, 40.42]","Fare_(40.42, 512.329]",Survived
1,0,57.0,0,0,0,0,0.0,0.0,1.0,1.0,0.0,0.0,0,1,0,0,0,31.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
0,1,13.4167,1,0,1,0,1.0,0.0,0.0,0.0,0.0,1.0,0,0,0,1,0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1
0,0,56.4958,0,1,1,1,0.0,0.0,1.0,0.0,0.0,1.0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
0,0,7.225,0,0,1,1,1.0,0.0,0.0,0.0,0.0,1.0,0,1,0,0,0,25.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0
0,0,26.55,0,0,1,1,0.0,0.0,1.0,1.0,0.0,0.0,0,0,0,0,0,60.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0
0,0,13.5,0,0,1,1,0.0,0.0,1.0,0.0,1.0,0.0,0,1,0,0,0,52.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0
0,0,8.05,0,0,1,1,0.0,0.0,1.0,0.0,0.0,1.0,0,1,0,0,0,44.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0
0,0,7.7333,1,1,1,1,0.0,1.0,0.0,0.0,0.0,1.0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1
1,1,110.8833,0,0,0,0,1.0,0.0,0.0,1.0,0.0,0.0,0,1,0,0,0,49.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0
0,0,7.65,0,0,0,1,0.0,0.0,1.0,0.0,0.0,1.0,0,1,0,0,0,42.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0
1,0,227.525,1,0,0,0,1.0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,1,18.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
0,0,26.2875,0,0,0,1,0.0,0.0,1.0,1.0,0.0,0.0,0,1,0,0,0,35.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1
0,1,14.4542,1,0,1,0,1.0,0.0,0.0,0.0,0.0,1.0,0,0,0,1,0,18.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
0,0,7.7417,0,0,1,1,0.0,1.0,0.0,0.0,0.0,1.0,0,1,0,0,0,25.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0
1,0,7.8542,0,0,1,0,0.0,0.0,1.0,0.0,0.0,1.0,0,1,0,0,0,26.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0
0,0,26.0,0,0,1,1,0.0,0.0,1.0,0.0,1.0,0.0,0,1,0,0,0,39.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0
0,0,13.5,1,0,1,1,0.0,0.0,1.0,0.0,1.0,0.0,0,0,0,0,1,45.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1
0,0,26.2875,0,0,0,1,0.0,0.0,1.0,1.0,0.0,0.0,0,1,0,0,0,42.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1
0,0,151.55,1,0,1,1,0.0,0.0,1.0,1.0,0.0,0.0,0,0,0,1,0,22.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
1,1,15.2458,0,1,1,0,1.0,0.0,0.0,0.0,0.0,1.0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1
0,0,49.5042,1,0,0,1,1.0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,1,24.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
0,0,26.55,0,1,0,1,0.0,0.0,1.0,1.0,0.0,0.0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
1,0,52.0,0,0,0,0,0.0,0.0,1.0,1.0,0.0,0.0,0,1,0,0,0,48.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1
0,0,9.4833,0,0,1,1,0.0,0.0,1.0,0.0,0.0,1.0,0,1,0,0,0,29.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0
0,0,13.0,0,0,1,1,0.0,0.0,1.0,0.0,1.0,0.0,0,1,0,0,0,52.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0
0,0,7.65,0,0,0,1,0.0,0.0,1.0,0.0,0.0,1.0,0,1,0,0,0,19.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0
0,0,227.525,1,0,0,1,1.0,0.0,0.0,1.0,0.0,0.0,0,0,0,1,0,38.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1
0,0,10.5,1,0,0,1,0.0,0.0,1.0,0.0,1.0,0.0,0,0,0,1,0,27.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1
0,0,15.5,0,1,1,1,0.0,1.0,0.0,0.0,0.0,1.0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
0,0,7.775,0,0,1,1,0.0,0.0,1.0,0.0,0.0,1.0,0,1,0,0,0,33.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0
0,1,33.0,1,0,1,0,0.0,0.0,1.0,0.0,1.0,0.0,0,0,0,1,0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1
1,0,7.0542,0,0,1,0,0.0,0.0,1.0,0.0,0.0,1.0,0,1,0,0,0,17.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0
0,0,13.0,0,0,1,1,0.0,0.0,1.0,0.0,1.0,0.0,0,1,0,0,0,34.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0
0,0,13.0,0,0,1,1,0.0,0.0,1.0,0.0,1.0,0.0,0,1,0,0,0,50.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0
1,0,53.1,0,0,0,0,0.0,0.0,1.0,1.0,0.0,0.0,0,1,0,0,0,27.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
0,0,8.6625,0,0,1,1,0.0,0.0,1.0,0.0,0.0,1.0,0,1,0,0,0,20.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0
3,0,21.0,1,0,1,0,0.0,0.0,1.0,0.0,1.0,0.0,0,0,0,0,1,30.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1
0,0,7.7375,1,1,1,1,0.0,1.0,0.0,0.0,0.0,1.0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1
1,0,26.0,0,0,1,0,0.0,0.0,1.0,0.0,1.0,0.0,0,1,0,0,0,25.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
1,0,7.925,1,0,1,0,0.0,0.0,1.0,0.0,0.0,1.0,0,0,0,1,0,25.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0
0,0,211.3375,1,0,0,1,0.0,0.0,1.0,1.0,0.0,0.0,0,0,0,1,0,29.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
0,0,18.7875,0,0,1,1,1.0,0.0,0.0,0.0,0.0,1.0,0,1,0,0,0,11.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
0,0,0.0,0,1,1,1,0.0,0.0,1.0,0.0,1.0,0.0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0,0,13.0,0,0,1,1,0.0,0.0,1.0,0.0,1.0,0.0,0,1,0,0,0,23.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
0,0,13.0,0,0,1,1,0.0,0.0,1.0,0.0,1.0,0.0,0,1,0,0,0,23.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
0,0,16.1,0,0,1,1,0.0,0.0,1.0,0.0,0.0,1.0,0,1,0,0,0,28.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
1,3,34.375,1,0,1,0,0.0,0.0,1.0,0.0,0.0,1.0,0,0,0,0,1,48.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0
0,0,512.3292,0,0,0,1,1.0,0.0,0.0,1.0,0.0,0.0,0,1,0,0,0,35.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1
0,0,7.8958,0,1,1,1,0.0,0.0,1.0,0.0,0.0,1.0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0
0,0,7.8958,0,1,1,1,0.0,0.0,1.0,0.0,0.0,1.0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0
0,0,30.0,0,1,0,1,0.0,0.0,1.0,1.0,0.0,0.0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1
1,0,78.85,0,0,0,0,0.0,0.0,1.0,1.0,0.0,0.0,0,1,0,0,0,36.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0
2,2,262.375,1,0,0,0,1.0,0.0,0.0,1.0,0.0,0.0,0,0,0,1,0,21.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
1,0,16.1,0,0,1,0,0.0,0.0,1.0,0.0,0.0,1.0,0,1,0,0,0,24.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
0,0,7.925,0,0,1,1,0.0,0.0,1.0,0.0,0.0,1.0,0,1,0,0,0,31.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1
1,1,71.0,0,0,0,0,0.0,0.0,1.0,1.0,0.0,0.0,0,0,0,0,0,70.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0
1,1,20.25,0,0,1,0,0.0,0.0,1.0,0.0,0.0,1.0,0,1,0,0,0,16.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
0,0,13.0,1,0,1,1,0.0,0.0,1.0,0.0,1.0,0.0,0,0,0,1,0,30.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1
1,0,53.1,0,0,0,0,0.0,0.0,1.0,1.0,0.0,0.0,0,1,0,0,0,19.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
0,0,7.75,0,0,1,1,0.0,1.0,0.0,0.0,0.0,1.0,0,1,0,0,0,31.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0
1,1,23.0,1,0,1,0,0.0,0.0,1.0,0.0,1.0,0.0,0,0,0,1,0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1
0,1,12.475,0,0,0,0,0.0,0.0,1.0,0.0,0.0,1.0,1,0,0,0,0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1
0,0,9.5,0,0,1,1,0.0,0.0,1.0,0.0,0.0,1.0,0,1,0,0,0,33.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0
0,0,7.8958,0,0,1,1,0.0,0.0,1.0,0.0,0.0,1.0,0,1,0,0,0,23.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0
1,2,65.0,1,0,1,0,0.0,0.0,1.0,0.0,1.0,0.0,0,0,0,0,1,48.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1
1,1,14.5,0,0,1,0,0.0,0.0,1.0,0.0,1.0,0.0,1,0,0,0,0,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1
0,0,7.7958,0,0,1,1,0.0,0.0,1.0,0.0,0.0,1.0,0,1,0,0,0,28.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0
0,0,11.5,0,0,1,1,0.0,0.0,1.0,0.0,1.0,0.0,0,1,0,0,0,18.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
0,0,8.05,0,0,1,1,0.0,0.0,1.0,0.0,0.0,1.0,0,1,0,0,0,34.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0
0,0,86.5,1,0,0,1,0.0,0.0,1.0,1.0,0.0,0.0,0,0,0,0,0,33.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1
0,0,14.5,0,1,1,1,0.0,0.0,1.0,0.0,0.0,1.0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
0,0,7.125,0,0,1,1,0.0,0.0,1.0,0.0,0.0,1.0,0,1,0,0,0,41.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0
0,0,7.2292,0,0,1,1,1.0,0.0,0.0,0.0,0.0,1.0,0,1,0,0,0,20.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1
1,2,120.0,1,0,0,0,0.0,0.0,1.0,1.0,0.0,0.0,0,0,0,0,1,36.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1
0,0,7.775,0,0,1,1,0.0,0.0,1.0,0.0,0.0,1.0,0,1,0,0,0,16.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0
1,0,77.9583,1,0,0,0,0.0,0.0,1.0,1.0,0.0,0.0,0,0,0,0,1,51.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1
0,0,39.6,0,1,1,1,1.0,0.0,0.0,1.0,0.0,0.0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
0,0,7.75,1,0,1,1,0.0,1.0,0.0,0.0,0.0,1.0,0,0,0,1,0,30.5,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0
1,0,24.15,0,1,1,0,0.0,1.0,0.0,0.0,0.0,1.0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
0,0,8.3625,0,0,1,1,0.0,0.0,1.0,0.0,0.0,1.0,0,1,0,0,0,32.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0
0,0,9.5,0,0,1,1,0.0,0.0,1.0,0.0,0.0,1.0,0,1,0,0,0,24.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0
0,0,7.8542,0,0,1,1,0.0,0.0,1.0,0.0,0.0,1.0,0,1,0,0,0,48.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0
0,0,10.5,1,0,0,1,0.0,0.0,1.0,0.0,1.0,0.0,0,0,0,0,1,57.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0
0,0,7.225,0,1,1,1,1.0,0.0,0.0,0.0,0.0,1.0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0
1,3,23.0,1,0,1,0,0.0,0.0,1.0,0.0,1.0,0.0,0,0,0,0,1,54.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1
0,0,7.75,0,0,1,1,0.0,0.0,1.0,0.0,0.0,1.0,0,1,0,0,0,18.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0
0,0,7.75,0,1,0,1,0.0,1.0,0.0,0.0,0.0,1.0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0
0,0,12.475,1,0,1,1,0.0,0.0,1.0,0.0,0.0,1.0,0,0,0,1,0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1
0,0,7.7375,0,1,1,1,0.0,1.0,0.0,0.0,0.0,1.0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0
0,1,211.3375,1,0,0,0,0.0,0.0,1.0,1.0,0.0,0.0,0,0,0,0,1,43.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1
0,0,7.2292,1,0,1,1,1.0,0.0,0.0,0.0,0.0,1.0,0,0,0,1,0,13.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1
1,0,57.0,1,0,0,0,0.0,0.0,1.0,1.0,0.0,0.0,0,0,0,0,1,17.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
0,0,30.0,0,0,0,1,0.0,0.0,1.0,1.0,0.0,0.0,0,1,0,0,0,29.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
1,2,23.45,0,1,1,0,0.0,0.0,1.0,0.0,0.0,1.0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
0,0,7.05,0,0,1,1,0.0,0.0,1.0,0.0,0.0,1.0,0,1,0,0,0,25.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0
0,0,7.25,0,0,1,1,0.0,0.0,1.0,0.0,0.0,1.0,0,1,0,0,0,25.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0
0,0,7.4958,1,0,1,1,0.0,0.0,1.0,0.0,0.0,1.0,0,0,0,1,0,18.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1
4,1,29.125,0,0,1,0,0.0,1.0,0.0,0.0,0.0,1.0,1,0,0,0,0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
